"","geneID","E_Oh43xB73_M_T2_1_B","E_Oh43xB73_M_T2_2_B","E_Oh43xB73_M_T2_3_B","E_Oh43xB73_M_T2_4_B","E_Oh43xB73_M_T2_5_B","E_B73_M_T2_1_B","E_B73_M_T2_2_B","E_B73_M_T2_3_B","E_B73_M_T2_4_B","E_B73_M_T2_5_B","E_Oh43_M_T2_1_O","E_Oh43xB73_M_T2_1_O","E_Oh43xB73_M_T2_2_O","E_Oh43xB73_M_T2_3_O","E_Oh43xB73_M_T2_4_O","E_Oh43xB73_M_T2_5_O","E_Oh43_M_T2_2_O","E_Oh43_M_T2_3_O","E_Oh43_M_T2_4_O","E_Oh43_M_T2_5_O"
"40","Zm00001eb001400",7.09726802268152,6.27827751454675,7.22077659934074,7.02539408974922,7.11604412007275,7.19547085628822,7.6821656505627,7.72126153709694,6.91326310262467,7.5768472824482,7.2837230278231,7.50741315777163,7.59290272172646,6.97515062336863,7.44999403644826,6.96952297215598,7.23256062757722,7.53606027088181,7.56222956524555,7.30891797675922
"41","Zm00001eb001430",7.08908499572495,7.5177754073697,7.28660654158091,7.38857762198289,7.07107193506077,6.97743387381394,7.4975703274795,7.17473647435436,6.95471855621954,6.73215109340985,7.15437765237968,7.19253982041822,8.03371332268832,7.32132626450267,7.02859824110906,7.61636492046381,7.08028065186649,7.44763216509946,7.30709417428428,7.23790986479619
"42","Zm00001eb001460",3.37521676177533,5.82563933524186,5.84226211447628,4.77909786655141,5.16801309896955,5.00054923860398,4.75330873085352,4.55807282914957,5.07053265114332,4.39963439417948,3.85196038132976,4.31303511260478,4.70175486266369,4.03110702934265,4.09339336390612,4.92871675576809,2.81002859175145,3.31195137695634,4.13266074717022,4.23009036033689
"43","Zm00001eb001470",6.24726152282667,4.81342240456331,5.48204076103598,5.70356362842163,4.64561126480008,5.76842729920104,5.62451270775039,5.04319756057824,5.31486914800811,4.79410264904022,5.68673799885274,5.92245065705048,4.83007895963923,5.73636376378152,6.02349135067597,5.81815838062039,5.55498697667119,4.69046300021007,5.01633662920298,4.77977738631051
"44","Zm00001eb001510",4.71970090290859,5.1784509513261,4.62204487360536,4.00009857574369,3.96113127801518,4.62352689068902,4.29234625343168,3.77447214490727,4.52398322225588,4.34787597730191,4.65623591045539,5.79581721851946,5.20622744552448,2.67747007472795,3.5277961880519,4.92871675576809,3.72756643155948,4.53434379829279,4.49070826786423,4.09884582705864
"45","Zm00001eb001560",4.51809036781157,10.1429094907413,5.05605621880524,6.11699541071678,4.71694824386428,5.8223847647429,5.36791448537676,6.02693641541142,6.20922659726394,5.70265277308083,4.98554353570835,4.45389764844463,4.40477312490656,4.93380982798773,5.75430471786058,5.37301884955213,4.99765559492722,5.45672290117031,4.66941415484875,4.00420895292056
"46","Zm00001eb001590",5.23246884780955,5.36109497506284,4.82701101811189,4.83981646764365,6.25722879727459,5.80687706883846,5.70560790736589,4.91327498707573,4.85864018299364,6.14051203272995,3.89439564765016,4.80899260726719,4.8901999520768,4.15140126306036,4.61186045284037,3.24590693164879,3.98587842715087,2.77429459101354,4.0914380844437,3.79399124553022
"47","Zm00001eb001600",3.08255269112722,4.1651554971486,3.66036236778598,4.34575676962526,3.8752200859382,3.1842153946837,4.26432006247296,3.35650147578421,2.78664835140156,3.70920943800197,3.61876120503673,1.34956098862989,4.48494347359054,3.20798479142673,2.58437971641826,4.28338163706746,2.81002859175145,2.34366023668368,2.37523105044429,2.64512785961573
"48","Zm00001eb001650",5.07506764660188,4.62536932698272,4.93854419517187,3.95401798775109,4.27349697362814,3.56726655886768,4.20254485431138,4.97306239335061,4.19338337292444,4.74814217820353,3.66851424023383,4.1569159106875,3.7990520640186,2.67747007472795,1.69129492033478,4.28338163706746,2.81002859175145,3.02955164625561,4.99414088308879,4.86303288995987
"49","Zm00001eb001680",6.36866558947903,6.34722768559942,6.31210738857959,6.36271300857907,6.99026974932046,6.20029798445406,6.60415116179974,5.84856616012901,6.30633676661595,6.40445732765254,2.54075869303546,3.41995031652129,3.66780753074035,2.31489999534324,3.83813630866405,3.08544225945555,2.44745851236674,3.54801873518986,1.88980422327405,3.61341899988839
